"ID","Structure of SMILES [idcode]","SMILES","DB","Total Molweight","cLogP","H-Acceptors","H-Donors","Polar Surface Area","Rotatable Bonds"
"100NatUV","ff}AP@@TDfjTwOK{Jv|eGMAAET@QP@@@","COC1=CC(=CC(=C1O)OC)CCC2=CC(=C(C=C2)O)OC","Nat-UV","304.341","2.9596","5","2","68.15","6"
"101NatUV","ffcAP@@TdfnRJZJZJIZHphRkAcf``H@`Hh@@@","COC1=C(C(=C2C(=C1)C=CC3=C2C=CC(=C3OC)O)OC)O","Nat-UV","300.309","3.147","5","2","68.15","3"
"102NatUv","flu@P@@DLgHhhhdeeBefRuXLViZjP@j@@@","COC1=CC(=O)C2=C(C1=O)CCC3=C2C=CC(=C3)O","Nat-UV","256.256","1.452","4","1","63.6","1"
"103NatUV","fbu@P@@TBeJ[guYVW`oQhHBh@b`@@","COC1=C(C=C(C=C1)CCC2=CC(=CC(=C2)OC)O)O","Nat-UV","274.315","3.0296","4","2","58.92","5"
"104NatUV","fbm@P@@TegIEMEMEDmDRIU`qSPQDAQAD@@@","COC1=C(C(=C2C(=C1)CCC3=C2C=CC(=C3)O)OC)O","Nat-UV","272.299","2.9602","4","2","58.92","2"
"105NatUV","fbm@P@@TegIEMEMEDmDRIU`qSPPD@PA@@@@","COC1=C(C(=C2C(=C1)C=CC3=C2C=CC(=C3)O)OC)O","Nat-UV","270.283","3.217","4","2","58.92","2"
"106NatUV","fdeA`@@\beMkNmklEhw`t@QT@DP@@","COC1=CC2=C(C3=C(CC2)C=C(C=C3)O)C(=C1)O","Nat-UV","242.273","3.0302","3","2","49.69","1"
"107NatUV","fdyA`@@\CdbfRbJTRTXKtZ@Hj@H@@@","COC1=CC(=CC(=C1)O)CCC2=CC(=CC=C2)O","Nat-UV","244.289","3.0996","3","2","49.69","4"
"108NatUV","ehZPH@@@LbbdRebTJTfbqbrdTxDTtLlBbJZjjjjjjjjjjZjnHDHeIyHdTnh@@","C[C@@]12[C@](CC[C@@H]2[C@H](C)CCC(C)(C(C)=C)C)(C)C3CCC4C(C)(C)[C@@H](O)CC[C@]4(C5)[C@]35CC1","Nat-UV","454.78","8.9023","1","1","20.23","5"
"109NatUV","ehZPH@@@LbbdRebTJTfbqbrdTxDTtLlBbJZZjjjjjjjjjZjaBHHeIYOIDbeu@@","C[C@H](CCC(C)(C)C(=C)C)[C@H]1CC[C@@]2([C@@]1(CC[C@]34[C@H]2CC[C@@H]5[C@]3(C4)CCC(=O)C5(C)C)C)C","Nat-UV","452.764","9.046","1","0","17.07","5"
"10NatUV","dazL@BAFR[nZjdrT`@","C[C@H]([C@@H](C(=O)O)N)O","Nat-UV","119.119","-3.5585","4","3","83.55","2"
"111NatUV","ff}AP@@TxfnRJZJIUIQISHRhyhHbJ`BJ@@@","COC1=CC(=CC(=C1OC)O)CCC2=CC(=C(C=C2)O)OC","Nat-UV","304.341","2.9596","5","2","68.15","6"
"112NatUV","ffcAP@@TUxnRJZJIQQVJEDVgQSf``J@H@h@@@","COC1=CC2=CC(=C(C(=C2C3=C1C=CC=C3O)OC)OC)O","Nat-UV","300.309","3.147","5","2","68.15","3"
"113NatUV","fbm@P@@TUgIEMEDhhkEbKS`qSPQE@QAD@@@","COC1=C(C=C2CCC3=C(C2=C1OC)C=CC(=C3)O)O","Nat-UV","272.299","2.9602","4","2","58.92","2"
"114NatUV","didL@@pTee^fZZi@@","C1=C(OC(=C1)C=O)CO","Nat-UV","126.111","0.2383","3","1","50.44","2"
"115NatUV","f`a@p@@XDkUldTbRbRqsIUUUUUQHPdXiP@","CCCCO[C@]1([C@H]([C@@H]([C@@H](CO1)O)O)O)CO","Nat-UV","236.263","-0.9382","6","4","99.38","5"
"116NatUV","flyAP@@HykvQQIZYJIJHdhuMSUSUXIFQT@@","CCCC[C@@H](/C=C[C@@H]([C@@H]1C=CC(=O)O1)O)OC(=O)C","Nat-UV","268.308","1.3987","5","1","72.83","8"
"117NatUV","fncA`@@TedTbbabbrrdtoE^cUUUUTuTtrBQLQbxeJGd","C/C(=C/C[C@@H]1[C@]2(CCCC([C@@H]2[C@H]([C@@H]([C@@]1(C)O)O)O)(C)C)C)/C=C","Nat-UV","322.487","3.911","3","3","60.69","3"
"118NatUV","fe{@P@@HykHhmEEMHhiMgeEHpRmUUUUUUMM@aU@","C/C(=C/CC1C2(CCCC(C2C(C(C1(C)O)O)OC(=O)C)(C)C)C)/C=C","Nat-UV","364.524","4.3956","4","2","66.76","5"
"119NatUV","ffc@p@@Dd[M\bbbbTRabJRKIVBdkTaTP@DT@@@","COC1=C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O","Nat-UV","300.265","2.2638","6","3","96.22","2"
"11NatUV","foAP`@BZ@aInvYWejsfjiB@bFH@","C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N","Nat-UV","204.228","-1.5098","4","3","79.11","3"
"120NatUV","fak@P@@H[wHhedeHhiiDYXRchyjuMUUUURuQAJRUCP@","C[C@@H]1CC[C@]2([C@@H]([C@@]1(C)CCC3=CC(=O)OC3)CCC=C2C(=O)O)C","Nat-UV","332.438","3.1477","4","1","63.6","4"
"121NatUV","fnk@P@@N}WHhdheiDhduDjLu[tZmZZjjfjZZjeHrBViF@@","C[C@@H]1CC[C@@H]2[C@@H]([C@@]13C[C@@H](OC3=O)C4=COC=C4)CC(=O)C=C2C","Nat-UV","314.38","2.6194","4","0","56.51","1"
"122NatUV","fig@p@@N}Uh|bbRbVdRbSTTQhsUoQ[uijjjZjVjj@@","CC1CCC2C(C13CC(OC3=O)C4=CC(OC4=O)O)CC(=O)C=C2C","Nat-UV","346.378","1.1101","6","1","89.9","1"
"123NatUV","fnsAp@@Dd[IVyEEEDheCDTeJrU`ijuHUD@AQP@@@","COC1=C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O","Nat-UV","316.264","1.9181","7","4","116.45","2"
"124NatUV","ebQPI@@@ACLfaecklbbbbbbbvvTJbfRtLRWFbgcdWTrNKPAAPDUUUTp@PPqh`hUJeuId@@","CC1=CC2=C(C(=C1)O)C(=O)C3=C([C@@H]2[C@@H]4[C@H]([C@@H]([C@@H]([C@H](O4)OC(=O)C5=CC=CC=C5)O)O)O)C=CC=C3O","Nat-UV","492.479","2.0951","9","5","153.75","4"
"125NatUV","figAP@@H]ENQSRJKRKREIXjRu[vZejuUUUUTuUUXqNRt@@","CC(C)C12C=C3[C@@H](O)CC4[C@](C)(C(O)=O)CCC[C@]4(C)C3(OO2)CC1","Nat-UV","350.453","2.9604","5","2","75.99","2"
"126NatUV","fewAP@@\ux^QQQJJJZNIJZQMbiNcdmV`hJ``bjjA`r`@","CC1(C=CC2=C(O1)C3=C(C4=C(CC(CC4=O)(C)O)C=C3C=C2OC)O)C","Nat-UV","354.401","3.5169","5","2","75.99","1"
"127NatUV","dg\D@@QIe[uVnZffjjBh@","CCCCCC=CC1CC=CC(=O)O1","Nat-UV","194.273","2.8453","2","0","26.3","5"
